도메인	API 명세	HTTP	URI	인증	우선순위	구현 여부	화면	설명
인증	회원가입	POST	/auth/signup	불필요	MVP	시작 전	onboarding/signup	이메일, 비밀번호, 온보딩 정보로 회원가입하고 JWT 토큰을 발급한다.
인증	로그인	POST	/auth/login	불필요	MVP	시작 전	login	이메일과 비밀번호로 로그인하고 JWT 토큰을 발급한다.
인증	로그아웃	POST	/auth/logout	필요	2차	시작 전	settings	현재 로그인 세션을 로그아웃 처리한다.
인증	회원 탈퇴	DELETE	/users/me	필요	2차	시작 전	settings	현재 로그인한 사용자의 계정을 탈퇴 처리한다.
사용자	내 프로필 조회	GET	/users/me	필요	MVP	시작 전	settings/profile	현재 로그인한 사용자의 프로필 정보를 조회한다.
사용자	프로필 수정	PUT	/users/profile	필요	2차	시작 전	profile-edit	닉네임, 소개, 프로필 이미지를 수정한다.
사용자	사용자 설정 변경	PUT	/users/preferences	필요	2차	시작 전	permissions	알림 허용, 맞춤 추천 허용 등 사용자 설정을 변경한다.
개인 일정	내 일정 목록 조회	GET	/users/schedules	필요	MVP	시작 전	personal-schedule	현재 로그인한 사용자의 개인 일정 전체를 조회한다.
개인 일정	일정 추가	POST	/users/schedules	필요	MVP	시작 전	personal-schedule/add	개인 일정을 추가한다. 고정 일정과 가변 일정을 구분한다.
개인 일정	일정 삭제	DELETE	/users/schedules/{id}	필요	2차	시작 전	personal-schedule	내 개인 일정 하나를 삭제한다.
모임	내 모임 목록 조회	GET	/meetings	필요	MVP	구현 완료	home	내가 가입한 모임 목록을 조회한다.
모임	모임 상세 조회	GET	/meetings/{id}	필요	MVP	시작 전	meeting	모임 이름, 설명, 멤버 수, 상태, 다음 일정 정보를 조회한다.
모임	모임 생성	POST	/meetings	필요	MVP	진행 중	settings/new-meeting	새 모임을 생성하고 생성자를 OWNER 멤버로 등록한다.
모임	모임 공지 목록 조회	GET	/meetings/{id}/notices	필요	2차	시작 전	meeting	특정 모임의 공지 목록을 조회한다.
일정 매칭	멤버 시간표 히트맵 조회	GET	/meetings/{id}/timetable	필요	MVP	시작 전	meeting/timetable	모임 멤버들의 개인 일정을 겹쳐 가능한 시간대 히트맵을 조회한다.
일정 매칭	후보 시간 및 득표 현황 조회	GET	/meetings/{id}/slots	필요	MVP	시작 전	meeting/vote	모임 후보 시간 목록과 각 후보의 가능 인원, 득표 수를 조회한다.
일정 매칭	후보 시간 투표	POST	/meetings/{id}/votes	필요	MVP	시작 전	meeting/vote	사용자가 특정 후보 시간에 투표한다.
일정 매칭	모임 시간 확정	POST	/meetings/{id}/confirm	필요	MVP	시작 전	meeting/vote	최다 득표 후보 또는 선택한 후보 시간을 확정한다.
일정 매칭	확정 일정 조회	GET	/meetings/{id}/confirmed	필요	MVP	시작 전	meeting/confirmed	확정된 모임 시간, 장소, 참석자 정보를 조회한다.
아카이브	활동 기록 목록 조회	GET	/archives	필요	MVP	시작 전	archive	활동 기록 목록을 회차와 날짜 기준으로 조회한다.
아카이브	활동 기록 상세 조회	GET	/archives/{id}	필요	MVP	시작 전	archive/[id]	특정 활동 기록의 상세 정보를 조회한다.
아카이브	활동 기록 생성	POST	/archives	필요	MVP	시작 전	archive/new	모임 활동 기록을 생성한다. MVP에서는 텍스트 정보부터 저장한다.
아카이브	활동 기록 수정	PUT	/archives/{id}	필요	2차	시작 전	archive/[id]/edit	활동 기록의 장소, 제목, 요약, 참석자 정보를 수정한다.
아카이브	활동 사진 업로드	POST	/archives/{id}/photos	필요	2차	시작 전	archive/new	활동 기록에 사진을 업로드한다. multipart/form-data를 사용한다.
친구	친구 목록 조회	GET	/friends	필요	2차	시작 전	friends	현재 로그인한 사용자의 친구 목록을 조회한다.
친구	친구 추가	POST	/friends	필요	2차	시작 전	friends	사용자 handle로 친구를 추가한다.
친구	친구 시간표 조회	GET	/friends/{id}/schedules	필요	2차	시작 전	friends	친구의 시간표를 조회한다.
채팅	단톡방 목록 조회	GET	/chat-rooms	필요	나중	시작 전	chat	단톡방 목록을 조회한다.
채팅	메시지 목록 조회	GET	/chat-rooms/{id}/messages	필요	나중	시작 전	chat	특정 단톡방의 메시지 목록을 조회한다.
채팅	메시지 전송	POST	/chat-rooms/{id}/messages	필요	나중	시작 전	chat	특정 단톡방에 메시지를 전송한다.
채팅	실시간 메시지 수신	WS	/ws/chat-rooms/{id}	필요	나중	시작 전	chat	웹소켓으로 실시간 채팅 메시지를 수신한다.
